flight_id,hardware_id,start_at_utc,field_land_uuid,land_revision_id,raw_area_m2,area_status,v4_summary_id,contour_reason,coverage_status,reason,unique_application_ha,unique_application_inside_field_ha,application_outside_field_ha,swath_integral_ha,s_minus_u_ha,repeated_application_ha,s_over_u,painted_swath_total_ha,flown_not_applied_ha,repeated_share_of_unique,contour_ha,contour_status,cell_m,coarsened,widths_used_m,s_single_width,segment_length_m,uncertainty_percent,thresholds,discriminating
688446950,1581F574B235W00100Q5,2026-08-17 19:03:07,3fed5a46-2991-4a7e-b721-1f819790cfb6,954,10080.0,RAW_CORROBORATED_QUALIFIED,1,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0092,,,0.9859,-0.0233,,0.9769,1.0888,0.0796,-0.0231,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 3.7118266705938754, ""NO_APPLICATION"": 241.35923759104156, ""NO_WIDTH"": 333.42193423781083, ""STANDSTILL"": 0.0, ""WORK"": 1564.916500591979}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.03, ""swath_work_ha"": 0.03}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688449585,1581F574B235W00100Q5,2026-08-17 19:12:40,3fed5a46-2991-4a7e-b721-1f819790cfb6,954,9980.0,RAW_CORROBORATED_QUALIFIED,4,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0046,,,0.9789,-0.0257,,0.9744,1.0904,0.0858,-0.0256,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 3.3671544447242385, ""NO_APPLICATION"": 247.56930926700758, ""NO_WIDTH"": 445.7460733864621, ""STANDSTILL"": 0.0, ""WORK"": 1553.8530404474573}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.03, ""swath_work_ha"": 0.03}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688452738,1581F574B235W00100Q5,2026-08-17 19:22:53,3fed5a46-2991-4a7e-b721-1f819790cfb6,954,10300.0,RAW_CORROBORATED_QUALIFIED,9,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0382,,,1.0122,-0.026,,0.9749,1.1205,0.0823,-0.0251,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 4.173813369799568, ""NO_APPLICATION"": 233.55904135155836, ""NO_WIDTH"": 542.5097592118527, ""STANDSTILL"": 0.0, ""WORK"": 1606.5939036846898}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.096, ""swath_work_ha"": 0.096}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688455776,1581F574B235W00100Q5,2026-08-17 19:32:56,3fed5a46-2991-4a7e-b721-1f819790cfb6,954,8520.0,RAW_CORROBORATED_QUALIFIED,12,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.8964,,,0.9027,0.0063,0.0063,1.007,1.1865,0.2901,0.007,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 3.8237990103983264, ""NO_APPLICATION"": 677.2036252339435, ""NO_WIDTH"": 279.8398393770509, ""STANDSTILL"": 0.0, ""WORK"": 1432.830739270776}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.078, ""swath_work_ha"": 0.078}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688456707,1581F574B235W00100Q5,2026-08-17 19:43:29,,,0.0,APPLICATION_WITHOUT_MEASURED_AREA,15,HISTORICAL_GEOMETRY_NOT_PROVEN,NO_CONFIRMED_APPLICATION,NO_WIDTH,,,,,,,,,,,,CONTOUR_ABSENT,,,,False,"{""NO_WIDTH"": 317.97684473934936, ""STANDSTILL"": 0.0}",{},{},False
688459116,1581F574B235W00100Q5,2026-08-17 19:47:33,427b0261-0096-4cdb-aa3d-7e3b397b778f,955,10006.0,RAW_CORROBORATED_QUALIFIED,16,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0015,,,0.987,-0.0145,,0.9856,1.0961,0.0946,-0.0144,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.5450258621518476, ""NO_APPLICATION"": 190.93674960369435, ""NO_WIDTH"": 344.9821862331904, ""STANDSTILL"": 0.0, ""WORK"": 1566.7278876509524}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.03, ""swath_work_ha"": 0.03}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688461762,1581F574B235W00100Q5,2026-08-17 19:57:23,427b0261-0096-4cdb-aa3d-7e3b397b778f,955,9986.0,RAW_CORROBORATED_QUALIFIED,19,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0032,,,0.988,-0.0152,,0.9848,1.0591,0.0559,-0.0152,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.6421848806519623, ""NO_APPLICATION"": 226.17901001858556, ""NO_WIDTH"": 408.1277382805241, ""STANDSTILL"": 0.0, ""WORK"": 1568.1993348359042}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.02, ""swath_work_ha"": 0.02}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688464086,1581F574B235W00100Q5,2026-08-17 20:06:51,427b0261-0096-4cdb-aa3d-7e3b397b778f,955,9960.0,RAW_CORROBORATED_QUALIFIED,24,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,1.0008,,,0.9851,-0.0157,,0.9843,1.0304,0.0296,-0.0157,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 2.462199889371829, ""NO_APPLICATION"": 275.3518120289087, ""NO_WIDTH"": 543.1185911862108, ""STANDSTILL"": 0.0, ""WORK"": 1563.6613539376103}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.02, ""swath_work_ha"": 0.02}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688467354,1581F574B235W00100Q5,2026-08-17 20:16:50,427b0261-0096-4cdb-aa3d-7e3b397b778f,955,9800.0,RAW_CORROBORATED_QUALIFIED,28,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.979,,,0.9824,0.0034,0.0034,1.0034,1.1255,0.1465,0.0034,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 3.582939849393683, ""NO_APPLICATION"": 373.20122266112935, ""NO_WIDTH"": 641.3769401461625, ""STANDSTILL"": 0.0, ""WORK"": 1559.31733034021}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.0, ""swath_work_ha"": 0.0}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
688472018,1581F574B235W00100Q5,2026-08-17 20:27:29,427b0261-0096-4cdb-aa3d-7e3b397b778f,955,3773.0,RAW_CORROBORATED_QUALIFIED,31,HISTORICAL_GEOMETRY_NOT_PROVEN,ESTIMATE,,0.4311,,,0.4263,-0.0048,,0.9889,0.4313,0.0002,-0.0111,,CONTOUR_ABSENT,0.5,False,6.3,True,"{""APPLICATION_EDGE"": 0.4999735134566219, ""NO_APPLICATION"": 5.686641218601607, ""NO_WIDTH"": 520.2664911055947, ""STANDSTILL"": 0.0, ""WORK"": 676.6734801770841}","{""clipped_all_ha"": null, ""clipped_work_ha"": null, ""contour_ha"": null, ""swath_all_ha"": 0.0, ""swath_work_ha"": 0.0}","{""cell_m"": 0.5, ""max_frame_gap_s"": 3.0, ""max_ground_speed_mps"": 20.0, ""width_rule"": ""min_of_two_endpoints"", ""work_rule"": ""application_on_both_endpoints""}",False
