work_type;applications;volume_min;volume_median;volume_max;unit;gps_method;rule
Култивация (минерал ўғитсиз);494;0.5;4.0;20.0;га;площадь по треку (метод GPS-2);полевая
Хар хил иш (МТЗ-80);236;1.0;5.0;10.0;моточас;зажигание io_239 за интервал;остальное
Култивация (минерал ўғит билан);179;0.3;6.0;14.0;га;площадь по треку (метод GPS-2);полевая
Хар хил иш (хизмат турлари бўйича);173;0.5;5.0;14.0;моточас;зажигание io_239 за интервал;остальное
Баргидан озиқлантириш(суспензия) ва Қишлок хўжалик хашароти ва зараркунандаларига карши кимёвий ишлов бериш;157;0.7;5.0;30.0;га;площадь по треку (метод GPS-2);полевая
Шудгорлаш (New Holland);104;0.25;4.0;20.0;га;площадь по треку (метод GPS-2);полевая
Юк ташиш (хар хил кўча);81;1.0;30000.0;73000.0;тонна-км;"км и маршрут по треку; тоннаж по GPS не измеряется";ташиш
Хар хил ишлар;78;0.5;7.0;8.0;моточас;зажигание io_239 за интервал;остальное
Эксковатор хизмати(ариқ зовурларни тозалаш) (HUNDAI-180W7);58;0.5;7.0;8.0;моточас;зажигание io_239 за интервал;остальное
Эксковатор хизмати(ариқ зовурларни тозалаш) (HUNDAI-140W7);50;1.4;5.0;10.0;моточас;зажигание io_239 за интервал;остальное
Юклагич хизмати;49;4.0;6.0;180.0;моточас;зажигание io_239 за интервал;остальное
трактор вақтбай иш (ПСТ);43;7.0;7.0;10.0;моточас;зажигание io_239 за интервал;остальное
Жўя олиш (минерал ўғитсиз);31;1.0;4.5;15.0;га;площадь по треку (метод GPS-2);полевая
Чизеллаш (New Holland);26;1.0;4.0;13.6;га;площадь по треку (метод GPS-2);полевая
Ассенизатор хизмати;21;2.0;7.0;30.0;моточас;зажигание io_239 за интервал;остальное
Лазер килиш ва хар хил ишлар;20;1.0;7.0;11.0;га;площадь по треку (метод GPS-2);полевая
Молалаш;20;0.4;5.0;18.5;га;площадь по треку (метод GPS-2);полевая
Юк автомашина соатбай иш Хова (метан);16;5.0;7.0;10.0;моточас;зажигание io_239 за интервал;остальное
Чигит экиш CASE 1200 (76 см);16;2.0;5.0;12.0;га;площадь по треку (метод GPS-2);полевая
Бараналаш (МТЗ 80Х);14;2.2;5.0;16.0;га;площадь по треку (метод GPS-2);полевая
Жўя олиш (минерал ўғит билан );13;1.2;3.7;15.0;га;площадь по треку (метод GPS-2);полевая
ижара;8;1850.0;17976.5;25000.0;моточас;зажигание io_239 за интервал;остальное
Чел кўйиш ва бузиш (МТЗ 80Х);7;0.36;5.0;8.0;моточас;зажигание io_239 за интервал;остальное
Юк автомашина соатбай иш Камаз 5320;7;5.0;7.0;10.0;моточас;зажигание io_239 за интервал;остальное
Юк автомашина соатбай иш Хова (дизел);6;5.0;7.0;8.0;моточас;зажигание io_239 за интервал;остальное
пахта ташиш;6;277.0;292.5;560.0;тонна-км;"км и маршрут по треку; тоннаж по GPS не измеряется";ташиш
Чел кўйиш ва бузиш (New Holland);5;1.0;7.4;1180.0;моточас;зажигание io_239 за интервал;остальное
юк ташиш (метан);4;900.0;1287.5;1340.0;тонна-км;"км и маршрут по треку; тоннаж по GPS не измеряется";ташиш
Ер текислаш (Длина воз 2 марта утиш);4;2.2;3.15;4.6;га;площадь по треку (метод GPS-2);полевая
Ғалла экиш (New Holland);2;1.0;1.75;2.5;га;площадь по треку (метод GPS-2);полевая
ўғит ташиш (камаз);2;600.0;625.0;650.0;тонна-км;"км и маршрут по треку; тоннаж по GPS не измеряется";ташиш
ўғит ташиш (метанда);2;810.0;1005.0;1200.0;тонна-км;"км и маршрут по треку; тоннаж по GPS не измеряется";ташиш
Бензавоз хизмати;2;5.0;5.0;5.0;моточас;зажигание io_239 за интервал;остальное
Дефоляция;2;8.8;9.4;10.0;га;площадь по треку (метод GPS-2);полевая
Минерал ўғитлар сепиш;2;4.0;7.0;10.0;га;площадь по треку (метод GPS-2);полевая
ўғит ташиш (дизелда);2;1050.0;1087.5;1125.0;тонна-км;"км и маршрут по треку; тоннаж по GPS не измеряется";ташиш
Чуқур юмшатиш (Рехнтел);2;1.4;1.85;2.3;га;площадь по треку (метод GPS-2);полевая
юк ташиш (дизел);1;1125.0;1125.0;1125.0;тонна-км;"км и маршрут по треку; тоннаж по GPS не измеряется";ташиш
Плёнка остига томчилаш лентаси билан чигит экиш (76 см Хитой сеялка);1;3.5;3.5;3.5;га;площадь по треку (метод GPS-2);полевая
Ер текислаш (Длина воз 1 марта ўтиш);1;3.8;3.8;3.8;га;площадь по треку (метод GPS-2);полевая
